id,first_name,last_name,full_name,published,redirect_from
jtag,Jesse,Taggert,,TRUE,/team/jtag/
jthibault,Jennifer,Thibault,,TRUE,/team/jthibault/
jtindel,John,Tindel,,TRUE,
julia-allen,Julia,Allen,,TRUE,/team/julia-allen/
julia-lindpaintner,Julia,Lindpaintner,,TRUE,
julia,Julia,Elman,,TRUE,/team/julia/
juliawinn,Julia,Winn,,TRUE,/team/julia-winn
justin-herman,Justin,Herman,,TRUE,
justin-koufopoulos,Justin,Koufopoulos,,TRUE,
justin,Justin,Grevich,,FALSE,/team/justin/
kaitlin,Kaitlin,Devine,,TRUE,/team/kaitlin/
kane,Kane,Baccigalupi,,TRUE,/team/kane/
kara-reinsel,Kara,Reinsel,,TRUE,
kara,Kara,DeFrias,,TRUE,/team/kara/
karim-said,Karim,Said,,TRUE,
kate,Kate,Garklavs,,TRUE,/team/kate/
kathrynconnolly,Kathryn,Connolly,,FALSE,/team/kathrynconnolly/
kedelman,Kathryn,Edelman,,TRUE,/team/kedelman/
keith-wilson,Keith,Wilson,,TRUE,
kendrick-daniel,Kendrick,Daniel,,TRUE,
kimberdowsett,Kimber,Dowsett,,TRUE,/team/kimberdowsett/
kinlane,Kin,Lane,,TRUE,
kris-rowley,Kris,Rowley,,TRUE,
kristy-singletary,Kristy,Singletary,,TRUE,
krutivora,Kruti,Vora,,FALSE,/team/krutivora/
lalitha-jonnalagadda,Lalitha,Jonnalagadda,,TRUE,
lane-becker,Lane,Becker,,FALSE,/team/lane-becker/
larry-bafundo,Larry,Bafundo,,FALSE,/team/larry-bafundo/
laura-gerhardt,Laura,Gerhardt,,TRUE,/team/laura-gerhardt/
laura-nash,Laura,Nash,,TRUE,
laura-ponce,Laura,Poncé,,TRUE,
lauren-ancona,Lauren,Ancona,,TRUE,/team/laura-ancona/
lauren-anderson,Lauren,Anderson,,TRUE,
lauren-frohlich,Lauren,Frohlich,,TRUE,
leah,Leah,Bannon,,TRUE,/team/leah/
leahg,Leah,Gitter,,FALSE,/team/leahg/
lenny-bogdonoff,Lenny,Bogdonoff,,FALSE,/team/lenny-bogdonoff/
lindsay,Lindsay,Young,,TRUE,/team/lindsay/
lisagelobter,Lisa,Gelobter,,TRUE,
logan-mcdonald,Logan,McDonald,,TRUE,/team/logan-mcdonald/
majma,Raphael,Majma,,TRUE,
malaika-carpenter,Malaika,Carpenter,,TRUE,
manger,Noah,Manger,,TRUE,/team/manger/
marco,Marco,Segreto,,TRUE,/team/marco/
marinafox,Marina,Fox,,TRUE,
mark-headd,Mark,Headd,,TRUE,
mark-meyer,Mark,Meyer,,TRUE,
mark-trammell,Mark,Trammell,,TRUE,
mark,Mark,Nejbauer,,FALSE,/team/mark/
matt-cloyd,Matt,Cloyd,,TRUE,
matt-dobson,Matt,Dobson,Matt Dobson,TRUE,
matt,Matt,Spencer,,FALSE,/team/matt/
mattchessen,Matt,Chessen,"Matt Chessen, Department of State",TRUE,
maya,Maya,Benari,,TRUE,/team/maya/
mbland,Mike,Bland,,TRUE,
mchopson,Mark,Hopson,,TRUE,/team/mark-hopson
meghana,Meghana,Khandekar,,TRUE,/team/meghana/
mel-choyce,Mel,Choyce,,TRUE,
melissa-braxton,Melissa,Braxton,,TRUE,
melody,Melody,Kramer,,TRUE,/team/melody/
memiwhitehead,Memi,Whitehead,,TRUE,
mheadd,Mark,Headd,,TRUE,
mhz,Michelle,Hertzfeld,,TRUE,/team/mhz/
miatta-myers,Miatta,Myers,,TRUE,
micahsaul,Micah,Saul,,FALSE,/team/micahsaul/
michael-balint,Michael,Balint,,FALSE,/team/michael-balint/
michael-cata,Michael,Cata,,FALSE,/team/michael-cata/
michael-king,Michael,King,,TRUE,
michael-torres,Michael,Torres,,TRUE,/team/michael-torres/
michael-walker,Greg,Walker,,TRUE,/team/michael-walker/
michelle-chronister,Michelle,Chronister,,TRUE,
michelle-mcnellis,Michelle,McNellis,,TRUE,
michelle-rago,Michelle,Rago,,TRUE,
mike-gintz,Mike,Gintz,,TRUE,
mike-hsu,Mike,Hsu,,FALSE,/team/mike-hsu/
mike-marcotte,Mike,Marcotte,,TRUE,
mike-wilkening,Mike,Wilkening,,TRUE,
mollieruskin,Mollie,Ruskin,,TRUE,
moncef,Moncef,Belyamani,,FALSE,/team/moncef/
mossadeq-zia,Mossadeq,Zia,,TRUE,/team/mossadeq-zia/
neil-martinsen-burrell,Neil,Martinsen-Burrell,,TRUE,
nick-kramer,Nick,Kramer,,TRUE,
nick,Nick,Bristow,,TRUE,/team/nick/
nicky-krause,Nicky,Krause,,TRUE,
nicole-fenton,Nicole,Fenton,,TRUE,/team/nicole-fenton/
nikki-lee,Nikki,Lee,,TRUE,
noah,Noah,Kunin,,TRUE,/team/noah/
nolson,Nathan,Olson,,FALSE,/team/nolson/
norah-maki,Norah,Maki,,TRUE,
olesya-minina,Olesya,Minina,,TRUE,
omid-ghaffari-tabrizi,Omid,Ghaffari-Tabrizi,,TRUE,
ozzy,Ozzy,Johnson,,TRUE,
peter-burkholder,Peter,Burkholder,,TRUE,
peter-rowland,Peter,Rowland,,TRUE,
phaedra,Phaedra,Chrousos,,FALSE,/team/phaedra/
phoebe-espiritu,Phoebe,Phoebe,Phoebe Espiritu,TRUE,/team/phoebe-espiritu/
pia,Pia,Scott,,FALSE,/team/pia/
pkarman,Peter,Karman,,TRUE,/team/pkarman/
porta,Porta,Antiporta,,TRUE,/team/porta-antiporta
princess-ojiaku,Princess,Ojiaku,Princess Ojiaku,TRUE,
puja,Puja,Balachander,,FALSE,/team/puja/
qituwra-anderson,Qituwra,Anderson,,TRUE,
randy-hart,Randy,Hart,,TRUE,/team/randy-hart/
raphy,Raphael,Villas,,FALSE,/team/raphy/
rebecca-refoy-sidibe,Rebecca,Refoy,,TRUE,
rebeccapiazza,Rebecca,Piazza,,TRUE,/team/rebeccapiazza/
ric,Ric,Miller,,FALSE,/team/ric/
robert,Robert,Read,Dr. Robert L. Read,TRUE,
robin-carnahan,Robin,Carnahan,,TRUE,/team/robin-carnahan/
robin-thottungal,Robin,Thottungal,Robin A. Thottungal,TRUE,
roger-ruiz,Roger,Ruiz,,FALSE,/team/roger-ruiz/
romke,Romke,De Haan,,FALSE,
ron-bronson,Ron,Bronson,,TRUE,
russ,Russ,Unger,,TRUE,/team/romke
ryan-ahearn,Ryan,Ahearn,,TRUE,
ryan-hofschneider,Ryan,Hofschneider,,TRUE,
ryan-johnson,Ryan,Johnson,,TRUE,
ryan-sibley,Ryan,Sibley,,TRUE,/team/ryan-sibley/
ryan,Ryan,Thurwell,Ryan Thurlwell,TRUE,/team/ryan/
sarah-eckert,Sarah,Eckert,,TRUE,
sarah,Sarah,Allen,,TRUE,
sarahcrane,Sarah,Crane,,TRUE,
sarayu-srinivasan,Sarayu,Srinivasan,,TRUE,
sasha,Sasha,Magee,,FALSE,/team/sasha/
sean,Sean,Herron,,TRUE,
selena-juneau-vogel,Selena,Juneau-Vogel,Selena Juneau-Vogel,TRUE,
shashank,Shashank,Khandelwal,,TRUE,"[""/team/khandelwal/"", ""/team/shashank/"", ""/author/khandelwal/""]"
